hospital_name,address,naver_website,naver_phone
강남더슬림의원,"서울특별시 서초구 신반포로 315, 삼덕빌딩 4층 (잠원동)",https://www.youtube.com/@slimTV,02-547-9877
강남더의원,"서울특별시 강남구 학동로 342, 에스케이 허브블루 4층 404호 (논현동)",,
강남디렉터의원,"서울특별시 서초구 서초대로77길 62, 강남역 IPARK L108호 제108호~113호 (서초동)",,
강남라렌의원,"서울특별시 강남구 강남대로 378, 준빌딩 10층 (역삼동)",http://gwangmyeong.lareinegroup.co.kr/,02-894-7781
강남라해의원,"서울특별시 강남구 강남대로 548, 건우빌딩 7층 (논현동)",http://www.rahae.co.kr/,02-598-0612
강남로미모의원,"서울특별시 강남구 테헤란로 107, 비전타워 11층 (역삼동)",http://www.romimo.co.kr,02-566-6623
강남리즈의료생활협동조합 강남리즈의원,"서울특별시 구로구 도림로23길 2, 한호빌딩 2층 (구로동)",,
강남메이퓨어의원,"서울특별시 강남구 역삼로1길 18, 3층 일부층 (역삼동)",https://www.maypureclinic.com/ko/,02-6959-5676
강남미앤미의원,"서울특별시 서초구 강남대로 439, 유화빌딩 8층 901호 (서초동)",,
강남미의원,"서울특별시 강남구 테헤란로 128, 6층 (역삼동, 성곡빌딩)",,
강남바른내과의원,"서울특별시 강남구 선릉로 324, SH타워 4층 (대치동)",,
강남박내과의원,"서울특별시 강남구 강남대로84길 8, 우인빌딩 2층 (역삼동)",https://blog.naver.com/soksiwonim,02-6318-8800
강남밴스의원,"서울특별시 서초구 강남대로 411, 12~13층 (서초동)",,
강남브엘의원,"서울특별시 강남구 봉은사로 111, 8층 (논현동)",https://vlcell.com/,02-517-3777
강남브이에스(VS)라인의원,"서울특별시 강남구 테헤란로 107, 메디타워 3층 (역삼동)",,
강남비비의원,"서울특별시 서초구 서초대로77길 5, 4층 (서초동)",https://viiviiclinic.com,
강남비앤비의원,"서울특별시 강남구 강남대로 616, 신사미타워 9층 901호 (신사동)",https://blog.naver.com/kangnambnb,02-544-6633
강남삼성내과의원,"서울특별시 강남구 봉은사로 111, 7층 (논현동)",,
강남삼성성형외과의원,"서울특별시 강남구 강남대로 506, 광명빌딩 5층 502호 (논현동)",,
강남성모내과의원,"서울특별시 동작구 동작대로 89, 골든시네마타워 6층 602-1호 (사당동)",,
강남성모내과의원,"서울특별시 강남구 개포로 615, 4층 402-2호 (개포동, 석탑프라자)",http://knsungmo.ilikedoc.kr,02-459-0105
강남성모정형외과의원,"서울특별시 동작구 동작대로 89, 602호 (사당동, 골든시네마타워)",http://sotks.com/,02-587-8275
강남성모정형외과의원,"서울특별시 강남구 선릉로 311, 한티빌딩 3층 (역삼동)",http://knsmos.com/,02-554-7580
강남쏘울의원,"서울특별시 강남구 선릉로129길 22, 고영빌딩 2층 (논현동)",,
강남아이디의원,"서울특별시 서초구 강남대로 437, 대원빌딩 11층 (서초동)",https://blog.naver.com/gnidclinc_,02-862-7556
강남에스터산부인과의원,"서울특별시 서초구 사평대로 373, 5층 (반포동)",http://esterclinic.com/,02-511-7999
강남엔비의원,"서울특별시 서초구 서초대로77길 17, BLOCK77 8층 801호 (서초동)",http://www.envyclinic.co.kr,02-1661-5541
강남역데이원의원,"서울특별시 서초구 강남대로 423, 한승빌딩 4층 402호 (서초동)",https://www.youtube.com/@DayoneClinicDrChan,02-594-5001
강남연세라인의원,"서울특별시 강남구 테헤란로 101, 4층 (역삼동, 이즈타워)",http://www.ylclinic.com/,02-563-2060
강남연세소아과의원,"서울특별시 강남구 역삼로 310, 한솔필리아 222호 (역삼동)",,
강남연세외과의원,"서울특별시 서초구 강남대로53길 7, 강남애니타워 401,402호 (서초동)",https://www.gnysbreast.com,02-522-1905
강남우리집의원,"서울특별시 강남구 개포로 229, 정원빌딩 2층 4호 (개포동)",http://pf.kakao.com/_vCUxfb,2291-8885
강남원의원,"서울특별시 강남구 자곡로 180, 강남유탑유블레스 1층 109, 109-2호 (자곡동)",https://sites.google.com/view/gangnamwon1/%ED%99%88,02-6927-1655
강남웰남성의원,"서울특별시 강남구 테헤란로51길 10, 정다운빌딩 4층일부 (역삼동)",http://www.gnwell.com,02-554-1203
강남위튼내과의원,"서울특별시 금천구 시흥대로 291, 273,274,275호 (독산동, 금천롯데캐슬골드파크3차)",https://gangnamwitten.imweb.me/,02-804-7575
강남의원,"서울특별시 종로구 자하문로 58, 4층 (창성동, 강락빌딩)",http://www.whasang.co.kr/,02-737-2880
강남의원,"서울특별시 강북구 오현로32길 4-8, (번동, 동보프라자빌딩)",,
강남의원,"서울특별시 송파구 마천로51길 2, 2층 (마천동, 수정빌딩)",,
강남조앤조내과소아과의원,"서울특별시 강남구 강남대로 420, 3층 (역삼동, 역삼빌딩)",,
강남채원의원,"서울특별시 서초구 서초대로78길 36, 강남지웰타워 7층 701호 (서초동)",https://chaewonclinic.imweb.me/,02-598-4550
강남코아이비인후과의원,"서울특별시 강남구 선릉로 301, 3층 (역삼동)",https://www.gangnamcoaent.com,02-555-8575
강남킴스의원,"서울특별시 서초구 잠원로3길 40, 태남홀딩스 304, 305호 (잠원동)",https://blog.naver.com/zamsunhi1,02-532-5975
강남타임의원,"서울특별시 강남구 강남대로 476, urbanhive 9층 (논현동)",http://www.gangnamtime.com,02-6353-0572
강남펜타힐의원,"서울특별시 서초구 강남대로 349, 우남빌딩 4,10층 (서초동)",https://blog.naver.com/pentaheal,1899-2536
강남푸른정형외과의원,"서울특별시 강남구 도곡로 449, 1층 (대치동)",,
강남플랜에스의원,"서울특별시 강남구 강남대로 408, YBM강남센터 B1,2층 (역삼동)",,
강남피어봄의원,"서울특별시 서초구 강남대로 365, 대우도씨에빛 1차 3층 301, 302호 (서초동)",,
강남현비뇨의학과의원,"서울특별시 강남구 도곡로63길 16, 3층 (대치동)",https://blog.naver.com/hyunurology,02-555-3731
강남호랑이마취통증의학과의원,"서울특별시 성동구 독서당로 300, 3,4층 (금호동4가)",https://blog.naver.com/tigerpain,02-2281-7588
강남훈내과의원,"서울특별시 광진구 뚝섬로56길 46, 2층 (자양동, 근정빌딩)",,
강내과의원,"서울특별시 성동구 용답중앙15길 2, 2층 (용답동)",,
강동김내과의원,"서울특별시 강동구 풍성로 178, (성내동)",https://blog.naver.com/qoiiiiop,02-479-0075
강동맑은내과의원,"서울특별시 강동구 동남로73길 13, 4층 (명일동)",http://www.cleanim.co.kr,02-481-5007
강동본터치정형외과의원,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 304~310호,407~410호 (명일동)",http://borntouch.com/,02-442-0087
강동성신의원,"서울특별시 송파구 백제고분로 457, (방이동)",,
강동센트럴이비인후과의원,"서울특별시 강동구 천호대로 1024, 힐스테이트 천호역 젠트리스 3층 309-315호 (성내동)",https://blog.naver.com/gdcentralent,02-474-1119
강동신경외과의원,"서울특별시 강동구 상암로 191, 명성빌딩 4층 (명일동)",,
강동연세내과의원,"서울특별시 강동구 올림픽로 782, 3층 (암사동, 501타워)",,
강동오아로피부과의원,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 404~406호 (명일동)",http://oarogd.com,02-427-6556
강동이엠365의원,"서울특별시 강동구 아리수로93나길 76, 2,3,4,5층 (강일동)",https://blog.naver.com/kdem365,02-428-9111
강동중앙내과외과의원,"서울특별시 강동구 양재대로 1458, 3층 (길동)",,
강동한내과의원,"서울특별시 강동구 성안로 156, 7층 (길동, 우주빌딩)",,
강북보아스이비인후과의원,"서울특별시 강북구 도봉로 242, 한국전력 강북성북지사 2층 1호 (미아동)",http://www.boazsleep.co.kr,02-980-1530
강북삼성의원,"서울특별시 성북구 화랑로40길 54, 지상3,4층 (석관동, 영원빌딩)",,
강북서울외과의원,"서울특별시 강북구 솔샘로 233, (미아동)",,
강북서울의원,"서울특별시 강북구 월계로7나길 8, (미아동)",,
강북성모내과의원,"서울특별시 강북구 도봉로 205, 3층 (미아동)",,
강북제일외과의원,"서울특별시 은평구 역말로 101, 토마스빌딩 2,3층 (역촌동)",,
강비뇨기과의원,"서울특별시 강서구 방화동로 10-2, 수영빌딩 2층 (공항동)",,
강서365의원,"서울특별시 강서구 화곡로 110, 3층 (화곡동)",,
강서고려비뇨의학과의원,"서울특별시 강서구 강서로 173, 터보빌딩 5층 501호 (화곡동)",https://blog.naver.com/gskoreauro,02-2065-8822
강서동남의원,"서울특별시 양천구 남부순환로 360, (신월동)",,
강서바른내과의원,"서울특별시 강서구 양천로 683, 3층 (염창동)",,
강서베스트내과의원,"서울특별시 강서구 방화동로 92, 에스메디컬 4,5일부층 (방화동)",https://blog.naver.com/gangseobest1,02-2662-7577
강서비뇨기과의원,"서울특별시 강서구 양천로 73, 302호 (방화동)",,
강서성모내과의원,"서울특별시 강서구 양천로 658, 302호 (염창동, 양화진빌딩)",,
강서신경외과의원,"서울특별시 강서구 강서로56길 106, 화운빌딩 2,3,4,5층 (등촌동)",,
강서아산내과의원,"서울특별시 강서구 가로공원로76길 51, 2~5층 (화곡동)",https://blog.naver.com/drjoamc777,02-6325-7575
강서아이엠유의원,"서울특별시 강서구 마곡중앙로 55, 문영 퀸즈파크13 3층 303~307, 314호 (마곡동)",http://www.imuclinic.co.kr,02-2661-1190
강서중앙의원,"서울특별시 강서구 강서로18가길 4, (화곡동)",,
강서큰나무재활의학과의원,"서울특별시 강서구 양천로57길 9-7, 2,4,5층 (가양동)",https://ujangsan-big-tree.com/,02-3664-1155
강서톡스앤필의원,"서울특별시 강서구 공항대로 190, 푸리마타워 2층 201~207호 (마곡동)",http://www.toxnfill32.com/,02-6958-8688
강소아과의원,"서울특별시 도봉구 덕릉로 253, (창동)",,
강인한소아청소년과의원,"서울특별시 은평구 수색로 322, 상가2층 205, 206호 (수색동)",,
강일연세이비인후과의원,"서울특별시 강동구 아리수로93나길 26, 성산타워 3층 304,305호 (강일동)",https://giyonsei.com,02-427-0559
강재활의학과닥터포유의원,"서울특별시 동대문구 장한로 119, 304호 (장안동)",,
강지혜소아청소년과의원,"서울특별시 송파구 거마로 61, 401호 (마천동, 한스어반타워)",,
강피부과의원,"서울특별시 금천구 시흥대로 228, 2층 (시흥동)",,
강피부과의원,"서울특별시 성북구 동소문로20가길 56, 2층 (동선동1가, 명기빌딩)",https://blog.naver.com/nanaskin,02-3443-1010
강한미(美)의원,"서울특별시 관악구 신림로 339, (신림동)",,
강현수비뇨기과의원,"서울특별시 종로구 새문안로 103-1, (신문로1가)",,
갤러리아피부과의원,"서울특별시 서초구 잠원로4길 33-2, 잠원동 스타빌딩 203호 일부 및 204,205호 (잠원동)",https://galleriaskin.com/,02-592-1240
갤러리아피부과의원,"서울특별시 강남구 선릉로 34, 3층, 지하2층 (개포동)",http://galleriaskin3.com/,02-573-9839
갤러리아피부과의원,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 3층 (둔촌동)",https://www.galleriaskings.com/,02-6213-1000
갤러리의원,"서울특별시 강남구 선릉로 427, 4층 (역삼동)",https://blog.naver.com/gallery7975,553-7975
건강드림내과의원,"서울특별시 구로구 천왕로 106, 골드프라자 (오류동)",https://dreamhealth.medisay.co.kr,02-2684-7575
건강드림의원,"서울특별시 은평구 진관4로 77, 702동 114호,113호 (진관동, 상림마을)",,
건강하지항외과의원,"서울특별시 강서구 강서로 179, 301호 (화곡동)",https://pf.kakao.com/_ZrYSn/chat,02-2699-9700
건강한 가정의학과의원,"서울특별시 강서구 곰달래로25길 33, 2,3층 (화곡동)",,
건강한내과의원,"서울특별시 도봉구 도봉로 729, 2층 (방학동)",,
건강한내과의원,"서울특별시 송파구 충민로2길 24, (장지동, 리더스플라자 401호)",,
건강한성심의원,"서울특별시 중랑구 용마산로 503, 2~5층 (망우동)",,
건강한우리내과의원,"서울특별시 동대문구 왕산로 176, 3층 (전농동)",https://blog.naver.com/version3846,02-967-0011
건대성모외과의원,"서울특별시 광진구 아차산로 226, 성용빌딩 4층 (자양동)",http://www.kusurgery.com/,02-498-7000
건대예쁨주의쁨의원,"서울특별시 광진구 아차산로 229, 한림타워 2층 (화양동)",https://konkukuniv.ppeum.com/,02-467-1177
건대톡스앤필의원,"서울특별시 광진구 아차산로 237, 삼진빌딩 3, 5층 (화양동)",,
건우내과의원,"서울특별시 광진구 면목로 113-1, (중곡동)",,
경동정형외과의원,"서울특별시 동대문구 약령시로 124, 1,2,3층 (청량리동)",https://blog.naver.com/kdhos1,02-964-1961
경이비인후과의원,"서울특별시 송파구 충민로2길 24, (장지동)",,
경희임내과의원,"서울특별시 동대문구 홍릉로 28, 성일빌딩 1,5층 (청량리동)",http://임내과.com,02-960-1080
경희큰나무의원,"서울특별시 강동구 올림픽로98길 57, 2층 (암사동)",,
계피부과의원,"서울특별시 영등포구 영중로 68, (영등포동5가)",http://www.kye.net/,02-2634-0109
계피부과의원,"서울특별시 강서구 공항대로 271, 이천이프라자 3층 301,302호 (마곡동)",https://blog.naver.com/kye-skin,02-6956-2713
고광송일반외과의원,"서울특별시 구로구 고척로 148, (고척동)",,
고덕메이퓨어의원,"서울특별시 강동구 동남로73길 26, 고덕복합빌딩 315, 316호 (명일동, 고덕복합빌딩)",,
고덕바른속내과의원,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 203~208호 (명일동)",http://gdbarunsok.co.kr,02-3427-1500
고덕성심소아청소년과의원,"서울특별시 강동구 고덕로 380, 고덕아르테온아파트(상가2동) 2층 202호 (상일동)",,
고덕연세365소아청소년과의원,"서울특별시 강동구 고덕로80길 123, 고덕센트럴아이파크아파트(상가A동) 2층 201-203호, 205호, 209호 (상일동)",https://short.ddocdoc.com/york0b,02-6949-3330
고덕편한내과의원,"서울특별시 강동구 고덕로 391, 4층 (고덕동)",http://gdcomfort.co.kr,02-441-7333
고려H내과의원,"서울특별시 광진구 아차산로 373, 3층 (구의동, 원이빌딩)",https://www.instagram.com/koreahhim/,02-3437-3337
고려가정의학과의원,"서울특별시 도봉구 우이천로4길 32, 2층 (창동)",,
고려가정의학과의원,"서울특별시 마포구 독막로 10, 3층 (합정동)",,
고려가정의학과의원,"서울특별시 노원구 광운로 57, (월계동)",http://goodkorea.co.kr/,02-909-1175
고려금비뇨기과의원,"서울특별시 영등포구 여의나루로 53-1, 대오빌딩 7층 701호 (여의도동)",http://urokum.com,02-784-7582
고려원이비인후과의원,"서울특별시 강서구 양천로 72, 4층 (방화동, 해성빌딩)",http://koreaoneent.co.kr,02-2662-8675
고려의원,"서울특별시 노원구 상계로 309-1, 명륜빌딩 (상계동)",,
고려정형외과의원,"서울특별시 중랑구 동일로 905, 4층 5층 (묵동)",https://koreaortho.medisay.co.kr/,02-973-1555
고려튼튼마취통증의학과의원,"서울특별시 관악구 인헌6길 15, 2층 (봉천동)",http://koreatntnpain.co.kr,02-888-8275
고려튼튼외과의원,"서울특별시 구로구 구로동로 153, 3층 (구로동)",https://blog.naver.com/koreatt17,02-857-8511
고배성이비인후과의원,"서울특별시 노원구 상계로 65, (상계동)",,
고슬림외과의원,"서울특별시 강남구 도산대로 122, 에메랄드타워 13층 (논현동)",https://www.goslim.co.kr,070-8657-4074
고운누리피부과의원,"서울특별시 서대문구 응암로 54, 서부프라자빌딩 3층 301호 (북가좌동)",,
고운맘소아청소년과의원,"서울특별시 송파구 중대로 80, 문정프라자 3층 (문정동)",,
고운맘소아청소년과의원,"서울특별시 관악구 난곡로 50, 2층 (신림동, 자연빌딩)",https://short.ddocdoc.com/wxtxyd,02-853-7705
고운채로의원,"서울특별시 관악구 은천로 118, 센트럴힐즈 5층 501,504호 (봉천동)",https://pf.kakao.com/_bxaxecn,0507-1303-7255
고움의원,"서울특별시 노원구 노해로 501, 201호,203호 (상계동, 노원빌딩)",http://goumclinic.co.kr,931-7747
고은가정의학과의원,"서울특별시 마포구 만리재로 27, (신공덕동)",,
고은가정의학과의원,"서울특별시 광진구 능동로13길 11, 2,3층 (화양동)",,
고은나라의원,"서울특별시 금천구 시흥대로 214, 6층 (시흥동, 비즈메드)",,
고은내과의원,"서울특별시 송파구 동남로4길 36, (문정동, FI빌딩 2층)",https://blog.naver.com/chsong14,02-3401-0875
고은미인의원,"서울특별시 관악구 남부순환로 1860, 2층 (봉천동)",http://www.goeunmiin.co.kr/,02-591-6550
고이비인후과의원,"서울특별시 동작구 여의대방로 250, 대림아파트(상가동) 4층 4-3호 (대방동)",https://www.entgo.co.kr,814-3777
고정아의원,"서울특별시 강남구 도산대로 134, 11층 (논현동, 페이토빌딩)",http://kojungaclinic.co.kr/,
고척성모의원,"서울특별시 구로구 중앙로15길 29, (고척동)",,
고척으뜸내과의원,"서울특별시 구로구 경인로43길 49, B동 201호 (고척동, 고척아이파크)",http://gcapexmed.com/,02-2687-7585
고트의원,"서울특별시 서초구 강남대로 375, 602~610호 (서초동, 서초현대타워아파트)",,
고피부과의원,"서울특별시 송파구 동남로 211, 3층 (가락동, 영남빌딩)",,
골드제이의원,"서울특별시 강남구 테헤란로 408, 대치빌딩 6층 6호 (대치동)",https://goldjclinic.com/,02-501-7715
골드지(G)의원,"서울특별시 서초구 사임당로 38, 3층 (서초동)",,
골드해피미래의원,"서울특별시 강남구 논현로 630, (논현동)",,
골든발란스의원,"서울특별시 강남구 강남대로 468, 충림빌딩 7,12층 (역삼동)",https://goldenbalance-seoul.imweb.me,02-516-7148
공간성형외과의원,"서울특별시 강남구 강남대로 616, 신사미타워 15층 (신사동)",https://www.gongganprs.com,02-511-2230
공덕닥터에버스의원,"서울특별시 마포구 도화길 43, 나눔빌딩 3층 303,304,309,310호 (도화동)",,
공덕멜로우피부과의원,"서울특별시 마포구 만리재로 22, 2층 206호, 207호, 208호, 209호, 210호 (신공덕동)",,
공릉든든내과의원,"서울특별시 노원구 공릉로46길 3, 302호 (공릉동, 평화타운)",https://gongneungdndnclinic.com/,974-2466
공릉의원,"서울특별시 노원구 공릉로 147, 2층 (공릉동, 기업은행 공릉동지점)",,
곽내과의원,"서울특별시 종로구 자하문로 58, 3층 (창성동)",,
곽피부과의원,"서울특별시 동작구 노량진로 162, (노량진동)",,
관악성모의원,"서울특별시 관악구 쑥고개로 51-1, (봉천동)",,
관악성모이비인후과의원,"서울특별시 관악구 관악로 186-2, (봉천동)",https://gsment.kr,02-883-7570
관악수내과의원,"서울특별시 관악구 남부순환로 1810, 2층 (봉천동)",http://www.gwsooclinic.com,02-871-1936
관악아산마취통증의학과의원,"서울특별시 관악구 관악로24길 14, 호삼빌딩 2, 4층 (봉천동)",https://www.asanpain.com/,0507-1479-8579
관악오라클피부과의원,"서울특별시 관악구 관악로 217, 5층 (봉천동, 동진빌딩)",http://www.oracleclinic.com/new/doc/net_main.php?netId=6&NVKWD,02-871-8301
관악우태하피부과의원,"서울특별시 관악구 관악로 168, 405,406호 (봉천동, 디오슈페리움2단지)",,
관악정다운의료복지사회적협동조합정다운우리의원,"서울특별시 관악구 신림로 206, 태영빌딩 2층 (신림동)",,
광재의원,"서울특별시 은평구 응암로 226-1, 1,2층 (응암동)",,
광지의원,"서울특별시 강남구 학동로97길 15, 1층 (청담동)",,
광피부과의원,"서울특별시 강남구 도산대로 318, SB타워 14층 3,4호 (논현동)",https://glowderm.kr/events,02-566-2701
광화문닥터김이비인후과의원,"서울특별시 종로구 세종대로 159, 6층 (세종로)",,
광화문참바른정형외과의원,"서울특별시 종로구 무교로 39, 3,4,5,6층 (서린동)",,
광화문헤리티크피부과의원,"서울특별시 종로구 새문안로 91, 광화문 고려빌딩 2층 (신문로1가)",https://htqskin.com/,02-733-2237
구도피부과의원,"서울특별시 용산구 독서당로 124, 3층 (한남동)",https://kudo.kr/ko,02-749-5005
구로세란의원,"서울특별시 구로구 디지털로 227, 새안빌딩 3층 (가리봉동)",,
구로센트럴이비인후과의원,"서울특별시 구로구 경인로 176, 4층 (오류동, 시티월드)",,
구로연세의원,"서울특별시 구로구 구로중앙로 16, 2,3층 (구로동)",,
구로우태하피부과의원,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 401호 (개봉동)",http://www.wooskin7.co.kr/,02-2616-1675
구로의원,"서울특별시 구로구 구로동로 128, (구로동)",,
구로제일의원,"서울특별시 구로구 공원로8길 23, 2,3층 (구로동)",https://blog.naver.com/gurojeil_clinic,02-855-1380
구로제일정형외과의원,"서울특별시 구로구 구로동로 118, 2층 (구로동)",,
구로튼튼의원,"서울특별시 구로구 도림로 67, (구로동,2층)",,
구로항유외과의원,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 201호 (개봉동)",https://gurohangyou.com,02-2060-6001
구름의자의원,"서울특별시 강남구 논현로 841, (신사동, 제이비 미소빌딩, 206호 일부)",,
구민내과의원,"서울특별시 은평구 서오릉로 204, 2층 (갈현동)",,
구앤서이비인후과의원,"서울특별시 강북구 오현로32길 3, 2층 (번동)",,
구앤장마취통증의학과피부과의원,"서울특별시 관악구 남부순환로 1805, 에이스에이존 201호 (봉천동)",,
구의중앙의원,"서울특별시 광진구 자양로 285, 2층 (구의동)",,
구일가정의원,"서울특별시 구로구 구일로10길 49, (구로동, 다원그린빌)",,
구일굿모닝내과의원,"서울특별시 구로구 구일로 110, 해원리버파크 3층 (구로동)",,
구파발연세내과의원,"서울특별시 은평구 진관2로 29-21, 4층 401호,402호 (진관동, 드림스퀘어)",http://yonsei-gupabal.co.kr/,02-387-7700
국민건강내과의원,"서울특별시 성북구 종암로 123, 2층 201호 (종암동)",http://kmmc.or.kr,02-2033-9909
국방의원,"서울특별시 용산구 이태원로 22, (용산동3가)",,
국홍일국정표피부과의원,"서울특별시 서초구 강남대로 221, 양재역환승주차장 302호 (양재동)",,
